ano;cod_ibge;n_fam_rua
2024;35;135257
2023;35;103083
2022;35;80551
2021;35;62553
2020;35;61333
2019;35;59657
2018;35;51758
2017;35;43166
2016;35;34347
2015;35;25187
2014;35;17597
2013;35;10281
2024;3500105;10
2024;3500204;0
2024;3500303;2
2024;3500402;3
2024;3500501;8
2024;3500550;2
2024;3500600;1
2024;3500709;33
2024;3500758;0
2024;3500808;0
2024;3500907;2
2024;3501004;14
2024;3501103;0
2024;3501152;10
2024;3501202;0
2024;3501301;2
2024;3501400;1
2024;3501509;2
2024;3501608;236
2024;3501707;34
2024;3501806;1
2024;3501905;124
2024;3502002;2
2024;3502101;76
2024;3502200;11
2024;3502309;0
2024;3502408;1
2024;3502507;32
2024;3502606;1
2024;3502705;16
2024;3502754;2
2024;3502804;434
2024;3502903;28
2024;3503000;14
2024;3503109;6
2024;3503158;2
2024;3503208;433
2024;3503307;234
2024;3503356;0
2024;3503406;0
2024;3503505;0
2024;3503604;8
2024;3503703;0
2024;3503802;24
2024;3503901;65
2024;3503950;0
2024;3504008;141
2024;3504107;250
2024;3504206;0
2024;3504305;1
2024;3504404;4
2024;3504503;138
2024;3504602;35
2024;3504701;0
2024;3504800;6
2024;3504909;0
2024;3505005;0
2024;3505104;0
2024;3505203;37
2024;3505302;10
2024;3505351;0
2024;3505401;0
2024;3505500;408
2024;3505609;2
2024;3505708;566
2024;3505807;16
2024;3505906;327
2024;3506003;446
2024;3506102;114
2024;3506201;0
2024;3506300;7
2024;3506359;294
2024;3506409;2
2024;3506508;201
2024;3506607;9
2024;3506706;1
2024;3506805;7
2024;3506904;3
2024;3507001;146
2024;3507100;67
2024;3507159;0
2024;3507209;0
2024;3507308;2
2024;3507407;19
2024;3507456;0
2024;3507506;117
2024;3507605;115
2024;3507704;0
2024;3507753;0
2024;3507803;22
2024;3507902;26
2024;3508009;75
2024;3508108;7
2024;3508207;2
2024;3508306;1
2024;3508405;43
2024;3508504;109
2024;3508603;12
2024;3508702;1
2024;3508801;17
2024;3508900;0
2024;3509007;81
2024;3509106;0
2024;3509205;72
2024;3509254;110
2024;3509304;0
2024;3509403;13
2024;3509452;0
2024;3509502;2638
2024;3509601;126
2024;3509700;19
2024;3509809;3
2024;3509908;24
2024;3509957;7
2024;3510005;14
2024;3510104;1
2024;3510153;3
2024;3510203;34
2024;3510302;11
2024;3510401;53
2024;3510500;563
2024;3510609;453
2024;3510708;1
2024;3510807;31
2024;3510906;1
2024;3511003;26
2024;3511102;83
2024;3511201;2
2024;3511300;0
2024;3511409;6
2024;3511508;27
2024;3511607;14
2024;3511706;0
2024;3511904;1
2024;3512001;14
2024;3512100;1
2024;3512209;53
2024;3512308;21
2024;3512407;36
2024;3512506;2
2024;3512605;0
2024;3512704;2
2024;3512803;23
2024;3512902;1
2024;3513009;171
2024;3513108;49
2024;3513207;10
2024;3513306;0
2024;3513405;181
2024;3513504;306
2024;3513603;8
2024;3513702;63
2024;3513801;419
2024;3513850;1
2024;3513900;0
2024;3514007;3
2024;3514106;17
2024;3514205;0
2024;3514304;0
2024;3514403;101
2024;3514502;16
2024;3514601;4
2024;3514700;2
2024;3514809;3
2024;3514908;4
2024;3514924;0
2024;3514957;0
2024;3515004;185
2024;3515103;75
2024;3515129;1
2024;3515152;4
2024;3515186;76
2024;3515194;0
2024;3515202;2
2024;3515301;0
2024;3515350;2
2024;3515400;17
2024;3515509;46
2024;3515608;0
2024;3515657;0
2024;3515707;142
2024;3515806;0
2024;3515905;0
2024;3516002;0
2024;3516101;2
2024;3516200;826
2024;3516309;179
2024;3516408;113
2024;3516507;0
2024;3516606;2
2024;3516705;84
2024;3516804;0
2024;3516853;1
2024;3516903;10
2024;3517000;3
2024;3517109;0
2024;3517208;12
2024;3517307;0
2024;3517406;37
2024;3517505;5
2024;3517604;7
2024;3517703;12
2024;3517802;3
2024;3517901;1
2024;3518008;0
2024;3518107;0
2024;3518206;27
2024;3518305;27
2024;3518404;205
2024;3518503;2
2024;3518602;30
2024;3518701;476
2024;3518800;2574
2024;3518859;3
2024;3518909;0
2024;3519006;0
2024;3519055;13
2024;3519071;325
2024;3519105;8
2024;3519204;2
2024;3519253;3
2024;3519303;44
2024;3519402;7
2024;3519501;0
2024;3519600;74
2024;3519709;219
2024;3519808;4
2024;3519907;0
2024;3520004;21
2024;3520103;0
2024;3520202;3
2024;3520301;46
2024;3520400;40
2024;3520426;8
2024;3520442;38
2024;3520509;507
2024;3520608;0
2024;3520707;0
2024;3520806;0
2024;3520905;9
2024;3521002;15
2024;3521101;1
2024;3521150;1
2024;3521200;1
2024;3521309;12
2024;3521408;4
2024;3521507;0
2024;3521606;1
2024;3521705;3
2024;3521804;25
2024;3521903;6
2024;3522000;0
2024;3522109;183
2024;3522158;1
2024;3522208;143
2024;3522307;236
2024;3522406;80
2024;3522505;90
2024;3522604;160
2024;3522653;0
2024;3522703;62
2024;3522802;4
2024;3522901;8
2024;3523008;2
2024;3523107;204
2024;3523206;128
2024;3523305;7
2024;3523404;238
2024;3523503;22
2024;3523602;10
2024;3523701;4
2024;3523800;0
2024;3523909;385
2024;3524006;26
2024;3524105;42
2024;3524204;0
2024;3524303;241
2024;3524402;302
2024;3524501;12
2024;3524600;22
2024;3524709;66
2024;3524808;68
2024;3524907;1
2024;3525003;106
2024;3525102;43
2024;3525201;24
2024;3525300;265
2024;3525409;1
2024;3525508;9
2024;3525607;0
2024;3525706;51
2024;3525805;0
2024;3525854;2
2024;3525904;358
2024;3526001;6
2024;3526100;46
2024;3526209;50
2024;3526308;0
2024;3526407;58
2024;3526506;0
2024;3526605;0
2024;3526704;139
2024;3526803;119
2024;3526902;408
2024;3527009;4
2024;3527108;93
2024;3527207;169
2024;3527256;1
2024;3527306;63
2024;3527405;1
2024;3527504;0
2024;3527603;1
2024;3527702;0
2024;3527801;0
2024;3527900;0
