ano;cod_ibge;pes_rf_ate_meio_sm;pes_insc_cadun;perc_rf_ate_meio_sm
2024;35;9329191;14061964;66,3
2023;35;10068823;14831766;67,9
2022;35;11326070;13910888;81,4
2021;35;9596213;11893122;80,7
2020;35;8524275;10685553;79,8
2019;35;8455169;10859041;77,9
2018;35;8263861;10309786;80,2
2017;35;8839373;10536889;83,9
2016;35;8543383;10460801;81,7
2015;35;9133318;10615118;86
2014;35;10022437;11249204;89,1
2013;35;9918105;10841923;91,5
2024;3500105;4018;7660;52,5
2024;3500204;974;1882;51,8
2024;3500303;9227;12538;73,6
2024;3500402;1376;2406;57,2
2024;3500501;2568;4425;58
2024;3500550;1770;2602;68
2024;3500600;374;1001;37,4
2024;3500709;6649;10641;62,5
2024;3500758;1330;2131;62,4
2024;3500808;1128;2179;51,8
2024;3500907;803;1582;50,8
2024;3501004;4881;7539;64,7
2024;3501103;990;1588;62,3
2024;3501152;2283;3550;64,3
2024;3501202;881;1662;53
2024;3501301;7154;9864;72,5
2024;3501400;1123;1904;59
2024;3501509;892;1546;57,7
2024;3501608;25050;39606;63,2
2024;3501707;6356;9339;68,1
2024;3501806;1308;2358;55,5
2024;3501905;8343;14442;57,8
2024;3502002;1143;1724;66,3
2024;3502101;11734;19138;61,3
2024;3502200;6780;10728;63,2
2024;3502309;2305;3259;70,7
2024;3502408;964;2053;47
2024;3502507;8054;12138;66,4
2024;3502606;1142;2328;49,1
2024;3502705;8801;12584;69,9
2024;3502754;7258;10075;72
2024;3502804;32381;52826;61,3
2024;3502903;6897;9761;70,7
2024;3503000;1380;2295;60,1
2024;3503109;2031;3228;62,9
2024;3503158;1189;1989;59,8
2024;3503208;36831;56466;65,2
2024;3503307;24304;36902;65,9
2024;3503356;715;1158;61,7
2024;3503406;2240;3727;60,1
2024;3503505;1582;2001;79,1
2024;3503604;2280;3540;64,4
2024;3503703;1157;2070;55,9
2024;3503802;9526;16249;58,6
2024;3503901;25040;36950;67,8
2024;3503950;506;1046;48,4
2024;3504008;17373;27743;62,6
2024;3504107;23519;35712;65,9
2024;3504206;2312;4048;57,1
2024;3504305;1596;2172;73,5
2024;3504404;4071;6094;66,8
2024;3504503;17777;25500;69,7
2024;3504602;5044;8379;60,2
2024;3504701;446;617;72,3
2024;3504800;1843;2674;68,9
2024;3504909;4016;5907;68
2024;3505005;1227;1851;66,3
2024;3505104;2249;3412;65,9
2024;3505203;6234;9182;67,9
2024;3505302;5733;9300;61,6
2024;3505351;3466;4449;77,9
2024;3505401;3708;4928;75,2
2024;3505500;18679;29585;63,1
2024;3505609;10217;13576;75,3
2024;3505708;76167;108984;69,9
2024;3505807;3512;7768;45,2
2024;3505906;11154;17005;65,6
2024;3506003;61017;100685;60,6
2024;3506102;14226;23133;61,5
2024;3506201;637;1234;51,6
2024;3506300;3046;4779;63,7
2024;3506359;24325;33697;72,2
2024;3506409;1287;2693;47,8
2024;3506508;17409;27680;62,9
2024;3506607;10966;15110;72,6
2024;3506706;3573;5576;64,1
2024;3506805;2468;3839;64,3
2024;3506904;2891;4658;62,1
2024;3507001;11657;15664;74,4
2024;3507100;6910;9863;70,1
2024;3507159;1864;2356;79,1
2024;3507209;252;480;52,5
2024;3507308;1214;2102;57,8
2024;3507407;2889;4800;60,2
