Cod;UF;Referência;CAD;PBF;Domic;CAD_Par;PBF_Par
11;RONDÔNIA;mai/25; 357.491 ; 133.495 ; 555.023 ;64,4;24,1
12;ACRE;mai/25; 207.562 ; 132.431 ; 260.997 ;79,5;50,7
13;AMAZONAS;mai/25; 1.047.834 ; 644.977 ; 1.079.752 ;97,0;59,7
14;RORAIMA;mai/25; 146.771 ; 80.590 ; 177.337 ;82,8;45,4
15;PARÁ;mai/25; 2.256.997 ; 1.345.437 ; 2.442.494 ;92,4;55,1
16;AMAPÁ;mai/25; 213.651 ; 123.079 ; 200.947 ;106,3;61,2
17;TOCANTINS;mai/25; 365.608 ; 154.924 ; 513.794 ;71,2;30,2
21;MARANHÃO;mai/25; 1.872.787 ; 1.232.895 ; 2.091.133 ;89,6;59,0
22;PIAUÍ;mai/25; 938.886 ; 589.787 ; 1.070.905 ;87,7;55,1
23;CEARÁ;mai/25; 2.457.129 ; 1.449.546 ; 3.019.203 ;81,4;48,0
24;RIO GRANDE DO NORTE;mai/25; 871.463 ; 497.367 ; 1.141.756 ;76,3;43,6
25;PARAÍBA;mai/25; 1.111.383 ; 666.917 ; 1.372.049 ;81,0;48,6
26;PERNAMBUCO;mai/25; 2.665.436 ; 1.579.631 ; 3.183.981 ;83,7;49,6
27;ALAGOAS;mai/25; 884.011 ; 533.173 ; 1.041.495 ;84,9;51,2
28;SERGIPE;mai/25; 638.221 ; 378.598 ; 782.762 ;81,5;48,4
29;BAHIA;mai/25; 4.263.620 ; 2.467.424 ; 5.086.813 ;83,8;48,5
31;MINAS GERAIS;mai/25; 3.691.364 ; 1.567.231 ; 7.532.922 ;49,0;20,8
32;ESPÍRITO SANTO;mai/25; 749.643 ; 308.273 ; 1.428.660 ;52,5;21,6
33;RIO DE JANEIRO;mai/25; 3.297.410 ; 1.569.869 ; 6.151.846 ;53,6;25,5
35;SÃO PAULO;mai/25; 6.046.235 ; 2.458.475 ; 16.224.602 ;37,3;15,2
41;PARANÁ;mai/25; 1.785.021 ; 601.247 ; 4.209.032 ;42,4;14,3
42;SANTA CATARINA;mai/25; 693.872 ; 229.403 ; 2.805.818 ;24,7;8,2
43;RIO GRANDE DO SUL;mai/25; 1.783.937 ; 614.164 ; 4.255.210 ;41,9;14,4
50;MATO GROSSO DO SUL;mai/25; 606.862 ; 201.003 ; 979.540 ;62,0;20,5
51;MATO GROSSO;mai/25; 715.797 ; 243.836 ; 1.278.087 ;56,0;19,1
52;GOIÁS;mai/25; 1.373.542 ; 488.032 ; 2.572.464 ;53,4;19,0
53;DISTRITO FEDERAL;mai/25; 411.907 ; 170.154 ;988123;41,7;17,2
