ano;Cod_Mun;n_fam_rua;pes_rf_ate_meio_sm;pes_insc_cadun;perc_rf_ate_meio_sm;Pes_PBF;Fam_PBF;MapSeq;F_CAD_EP;Fam_Aux;Fam_PBF_Aux;Fam_PBF_2;MapSeq_Aux;PCD_BPC;Ido_BPC;Pop_65_mais;Pop_2020;65_menos_Idoso_BPC
2018;3500105;4;2838;4976;57;943.5833333333334;284.9166666666667;4.0;96.58333333333333;;284.9166666666667;;;391.25;204.33333333333334;5282.0;33894.0;5077.666666666667
2019;3500105;5;3050;5465;55,8;876.25;282.3333333333333;4.0;127.16666666666667;;282.3333333333333;;;406.5;193.16666666666666;5282.0;33894.0;5088.833333333333
2020;3500105;5;3132;5109;61,3;999.0833333333334;339.6666666666667;4.0;181.16666666666666;;339.6666666666667;;;391.5;197.75;5282.0;33894.0;5084.25
2018;3500204;1;1091;1742;62,6;508.6666666666667;162.58333333333334;3.0;140.0;;162.58333333333334;;;20.166666666666668;20.583333333333332;521.0;3447.0;500.4166666666667
2019;3500204;1;1106;1757;62,9;447.8333333333333;144.66666666666666;3.0;135.75;;144.66666666666666;;;21.5;24.75;521.0;3447.0;496.25
2020;3500204;2;1183;1749;67,6;466.9166666666667;152.75;3.0833333333333335;155.08333333333334;;152.75;;;21.75;30.333333333333332;521.0;3447.0;490.6666666666667
2018;3500303;4;8628;10494;82,2;4739.0;1367.3333333333333;3.0;849.3333333333334;;1367.3333333333333;;;339.3333333333333;186.5;3527.0;35608.0;3340.5
2019;3500303;3;8513;10436;81,6;4236.916666666667;1254.4166666666667;3.3333333333333335;960.5833333333334;;1254.4166666666667;;;324.8333333333333;188.75;3527.0;35608.0;3338.25
2020;3500303;3;8013;9548;83,9;4428.583333333333;1302.3333333333333;3.25;1059.25;;1302.3333333333333;;;320.3333333333333;194.33333333333334;3527.0;35608.0;3332.6666666666665
2018;3500402;3;1332;1877;71;570.5833333333334;154.58333333333334;4.0;106.75;;154.58333333333334;;;50.083333333333336;76.83333333333333;1236.0;7797.0;1159.1666666666667
2019;3500402;3;1337;1999;66,9;510.0833333333333;149.0;4.0;121.58333333333333;;149.0;;;47.833333333333336;75.75;1236.0;7797.0;1160.25
2020;3500402;3;1331;2019;65,9;505.9166666666667;157.08333333333334;4.0;130.75;;157.08333333333334;;;50.833333333333336;74.33333333333333;1236.0;7797.0;1161.6666666666667
2018;3500501;7;1865;2367;78,8;889.5;289.4166666666667;4.0;187.16666666666666;;289.4166666666667;;;159.5;132.25;2301.0;18374.0;2168.75
2019;3500501;5;2185;2957;73,9;855.5833333333334;295.1666666666667;4.0;227.91666666666666;;295.1666666666667;;;161.0;139.66666666666666;2301.0;18374.0;2161.3333333333335
2020;3500501;4;2386;3207;74,4;995.9166666666666;354.1666666666667;4.0;267.3333333333333;;354.1666666666667;;;161.08333333333334;145.41666666666666;2301.0;18374.0;2155.5833333333335
2018;3500550;0;1829;1995;91,7;1250.6666666666667;415.0833333333333;2.8333333333333335;464.9166666666667;;415.0833333333333;;;48.416666666666664;37.75;787.0;5931.0;749.25
2019;3500550;1;2024;2417;83,7;1250.3333333333333;423.25;2.5;422.4166666666667;;423.25;;;47.083333333333336;39.0;787.0;5931.0;748.0
2020;3500550;1;1990;2306;86,3;1082.8333333333333;354.75;3.0;400.3333333333333;;354.75;;;49.083333333333336;45.833333333333336;787.0;5931.0;741.1666666666666
2018;3500600;0;235;283;83;121.83333333333333;36.583333333333336;4.0;37.666666666666664;;36.583333333333336;;;26.833333333333332;46.666666666666664;590.0;3122.0;543.3333333333334
2019;3500600;0;215;279;77,1;122.83333333333333;38.916666666666664;4.0;37.916666666666664;;38.916666666666664;;;28.166666666666668;48.166666666666664;590.0;3122.0;541.8333333333334
2020;3500600;0;337;504;66,9;146.5;45.0;4.0;48.0;;45.0;;;31.666666666666668;56.666666666666664;590.0;3122.0;533.3333333333334
2018;3500709;9;6845;9483;72,2;3283.9166666666665;1018.1666666666666;4.0;700.0;;1018.1666666666666;;;478.5833333333333;335.1666666666667;3733.0;36134.0;3397.8333333333335
2019;3500709;13;6632;9268;71,6;2989.75;936.8333333333334;4.0;651.5833333333334;;936.8333333333334;;;481.8333333333333;326.8333333333333;3733.0;36134.0;3406.1666666666665
2020;3500709;15;6200;8266;75;3103.9166666666665;966.4166666666666;4.0;641.8333333333334;;966.4166666666666;;;466.4166666666667;327.5;3733.0;36134.0;3405.5
2018;3500758;0;1515;1834;82,6;733.25;198.16666666666666;3.5833333333333335;56.75;;198.16666666666666;;;45.083333333333336;21.75;567.0;5779.0;545.25
2019;3500758;0;1395;1730;80,6;642.5833333333334;171.66666666666666;4.0;43.0;;171.66666666666666;;;47.75;22.916666666666668;567.0;5779.0;544.0833333333334
2020;3500758;0;1387;1699;81,6;640.8333333333334;172.25;4.0;38.166666666666664;;172.25;;;48.666666666666664;24.083333333333332;567.0;5779.0;542.9166666666666
2018;3500808;0;1154;1613;71,5;590.75;192.83333333333334;3.0;174.41666666666666;;192.83333333333334;;;32.25;19.166666666666668;674.0;3927.0;654.8333333333334
2019;3500808;1;1229;1722;71,4;528.4166666666666;174.08333333333334;3.0;159.25;;174.08333333333334;;;29.833333333333332;20.416666666666668;674.0;3927.0;653.5833333333334
2020;3500808;1;1253;1666;75,2;547.5;180.83333333333334;3.0;162.75;;180.83333333333334;;;28.583333333333332;30.333333333333332;674.0;3927.0;643.6666666666666
2018;3500907;3;1007;1509;66,7;452.75;153.66666666666666;3.0833333333333335;104.83333333333333;;153.66666666666666;;;53.416666666666664;41.916666666666664;394.0;4036.0;352.0833333333333
2019;3500907;2;994;1496;66,4;413.3333333333333;147.58333333333334;3.5;125.16666666666667;;147.58333333333334;;;47.916666666666664;38.666666666666664;394.0;4036.0;355.3333333333333
2020;3500907;1;957;1361;70,3;438.8333333333333;158.58333333333334;3.25;148.41666666666666;;158.58333333333334;;;48.5;33.75;394.0;4036.0;360.25
2018;3501004;1;4203;5483;76,7;2264.5;696.3333333333334;3.0;629.5;;696.3333333333334;;;184.58333333333334;108.75;2121.0;15553.0;2012.25
2019;3501004;2;4444;5801;76,6;2380.0;752.75;3.0;756.0;;752.75;;;180.16666666666666;111.83333333333333;2121.0;15553.0;2009.1666666666667
2020;3501004;3;4773;6004;79,5;2279.4166666666665;721.0;3.0;934.9166666666666;;721.0;;;174.5;110.0;2121.0;15553.0;2011.0
2018;3501103;0;922;1080;85,4;548.4166666666666;174.16666666666666;3.0;190.16666666666666;;174.16666666666666;;;35.916666666666664;21.5;732.0;4017.0;710.5
2019;3501103;0;942;1238;76,1;493.1666666666667;166.41666666666666;3.0;179.75;;166.41666666666666;;;38.916666666666664;19.333333333333332;732.0;4017.0;712.6666666666666
